PR ID,PR number,Opened by,Assignee,Assignees
2368947517,130544,jsafrane,gnufied,"['gnufied', 'deads2k']"
2368805050,130543,thockin,pohly,['pohly']
2368771678,130541,swatisehgal,esotsal,['esotsal']
2368530895,130539,danwinship,adrianmoisey,['adrianmoisey']
2367938037,130537,saintube,macsko,['macsko']
2367826691,130536,tenzen-y,dims,"['dims', 'soltysh', 'atiratree', 'mimowo']"
2367701227,130535,ffromani,saschagrunert,"['saschagrunert', 'liggitt', 'SergeyKanzhelev', 'swatisehgal']"
2367394502,130533,Henrywu573,Jefftree,"['jpbetz', 'sttts', 'Jefftree']"
2367371740,130532,Henrywu573,Jefftree,['Jefftree']
2367363448,130531,Henrywu573,Unknown,['Unknown']
2367062312,130530,pacoxu,dims,"['dims', 'liggitt']"
2366653494,130526,aojea,adrianmoisey,"['danwinship', 'adrianmoisey']"
2366628447,130524,dims,gnufied,"['gnufied', 'xing-yang', 'msau42', 'carlory']"
2366530453,130522,googs1025,macsko,"['sanposhiho', 'macsko']"
2366472942,130520,googs1025,Unknown,['Unknown']
2366439760,130519,dims,aojea,"['BenTheElder', 'aojea']"
2366159348,130515,Jefftree,liggitt,"['liggitt', 'thockin', 'aojea']"
2366135566,130514,xigang,wojtek-t,"['soltysh', 'wojtek-t']"
2366126930,130513,ayushpatil2122,Unknown,['Unknown']
2366002214,130512,HirazawaUi,thockin,"['adrianmoisey', 'thockin', 'aojea', 'mikebrow']"
2365884258,130511,z1cheng,serathius,"['liggitt', 'serathius']"
2365635570,130510,cici37,thockin,"['liggitt', 'thockin', 'aojea']"
2365623159,130509,cici37,thockin,"['liggitt', 'thockin', 'aojea']"
2365600676,130508,cici37,thockin,"['liggitt', 'thockin', 'aojea']"
2365592655,130507,cici37,pacoxu,"['pacoxu', 'thockin', 'siyuanfoundation']"
2365564881,130506,jpbetz,BenTheElder,['BenTheElder']
2365499342,130505,aojea,aroradaman,['aroradaman']
2365450368,130504,ayushpatil2122,Unknown,['Unknown']
2365221863,130499,tonyzhc,sunnylovestiramisu,"['wangzhen127', 'sunnylovestiramisu']"
2365194664,130498,swatisehgal,ffromani,['ffromani']
2365129703,130497,DamianSawicki,kl52752,"['MrHohn', 'kl52752']"
2364964073,130496,sreeram-venkitesh,liggitt,['liggitt']
2364769687,130494,aroradaman,Unknown,['Unknown']
2364594907,130493,shajmakh,macsko,['macsko']
2364458951,130492,macsko,ahg-g,"['ahg-g', 'sanposhiho', 'dom4ha']"
2364363248,130491,swatisehgal,dashpole,"['dashpole', 'SergeyKanzhelev', 'ffromani']"
2364042015,130489,p0lyn0mial,wojtek-t,['wojtek-t']
2363298419,130485,aramase,enj,"['liggitt', 'enj']"
2363296737,130484,aojea,aroradaman,"['danwinship', 'thockin', 'aroradaman']"
2363194892,130481,aojea,Unknown,['Unknown']
2363143647,130479,aojea,aroradaman,"['danwinship', 'thockin', 'aroradaman']"
2363034921,130478,aaron-prindle,yongruilin,"['thockin', 'yongruilin']"
2362828574,130477,cici37,jpbetz,['jpbetz']
2362786215,130476,dims,msau42,"['xing-yang', 'msau42']"
2362711451,130475,serathius,wojtek-t,['wojtek-t']
2362609222,130474,dims,cpanato,"['liggitt', 'cpanato']"
2362465180,130473,dims,saschagrunert,['saschagrunert']
2362067912,130472,jsafrane,gnufied,['gnufied']
2361925655,130470,p0lyn0mial,wojtek-t,"['skitt', 'wojtek-t']"
2361412182,130465,Monokaix,wojtek-t,['wojtek-t']
2361357166,130463,sanposhiho,deads2k,"['liggitt', 'deads2k', 'ahg-g', 'macsko', 'dom4ha']"
2361037120,130461,kariya-mitsuru,p0lyn0mial,"['liggitt', 'p0lyn0mial']"
2360403216,130453,BenTheElder,stlaz,"['stlaz', 'liggitt', 'aramase']"
2359986515,130451,danwinship,aojea,['aojea']
2359818561,130450,JoelSpeed,aojea,['aojea']
2359701925,130448,serathius,wojtek-t,"['liggitt', 'wojtek-t']"
2359695706,130447,pohly,x13n,"['x13n', 'gjtempleton', 'MaciekPytel', 'dgrisonnet', 'sanposhiho', 'dom4ha']"
2359212821,130443,serathius,wojtek-t,['wojtek-t']
2358377713,130437,srivastav-abhishek,BenTheElder,"['BenTheElder', 'liggitt', 'aojea', 'aramase']"
2358115869,130433,thockin,jpbetz,"['jpbetz', 'aaron-prindle', 'yongruilin']"
2357710777,130426,jsturtevant,aravindhp,"['aravindhp', 'marosset']"
2357628468,130424,ahrtr,serathius,"['dims', 'serathius']"
2357611933,130423,serathius,wojtek-t,['wojtek-t']
2357418235,130422,bertinatto,sttts,"['sttts', 'Jefftree']"
2356907674,130417,serathius,wojtek-t,['wojtek-t']
2356874769,130416,macsko,dom4ha,"['sanposhiho', 'dom4ha']"
2356735265,130414,googs1025,macsko,"['haosdent', 'macsko']"
2356694492,130413,zhifei92,mrunalp,"['mrunalp', 'SergeyKanzhelev', 'HirazawaUi']"
2356641771,130412,serathius,wojtek-t,['wojtek-t']
2355588998,130405,kariya-mitsuru,wojtek-t,"['liggitt', 'wojtek-t', 'p0lyn0mial']"
2354530299,130401,ryota-sakamoto,danwinship,"['danwinship', 'aroradaman']"
2354473410,130400,serathius,wojtek-t,['wojtek-t']
2354395393,130399,serathius,wojtek-t,['wojtek-t']
2354386865,130398,gnufied,jsafrane,"['jsafrane', 'SergeyKanzhelev', 'msau42', 'mattcary', 'sunnylovestiramisu']"
2354265910,130397,natasha41575,liggitt,"['liggitt', 'tallclair']"
2354223721,130396,bart0sh,ffromani,"['mrunalp', 'SergeyKanzhelev', 'ffromani']"
2353628940,130394,Barakmor1,liggitt,['liggitt']
2353283098,130392,mrIncompetent,sttts,"['sttts', 'xmudrii']"
2353002264,130391,bart0sh,mrunalp,"['mrunalp', 'kannon92', 'SergeyKanzhelev', 'ffromani', 'tallclair']"
2352913680,130390,mimowo,atiratree,['atiratree']
2352868560,130388,thockin,yongruilin,['yongruilin']
2352774018,130386,shiya0705,Unknown,['Unknown']
2352541003,130383,toVersus,pacoxu,"['pacoxu', 'SergeyKanzhelev', 'ffromani']"
2352444491,130382,mutokrm,Unknown,['Unknown']
2352123683,130375,googs1025,macsko,"['sanposhiho', 'macsko']"
2352046189,130372,aojea,liggitt,"['liggitt', 'seans3']"
2351691816,130366,ayushpatil2122,Unknown,['Unknown']
2351604658,130365,ZXYxc,Unknown,['Unknown']
2351570159,130364,aojea,Unknown,['Unknown']
2351142461,130363,mutokrm,HirazawaUi,"['mrunalp', 'SergeyKanzhelev', 'HirazawaUi']"
2350946310,130359,my-git9,dims,"['dims', 'liggitt', 'thockin', 'aojea']"
2350720329,130357,tallclair,pacoxu,['pacoxu']
2350718660,130356,aojea,dims,"['dims', 'liggitt', 'cpanato']"
2350653592,130355,yongruilin,thockin,['thockin']
2350607095,130354,siyuanfoundation,aojea,['aojea']
2350331872,130352,natasha41575,tallclair,"['liggitt', 'tallclair']"
2350151953,130349,jpbetz,deads2k,"['dims', 'deads2k']"
2350061045,130348,aojea,dims,"['dims', 'liggitt']"
